Landmark,MP_X,MP_Y,GT_X,GT_Y,Eclidean_Distance
NOSE,997,285,1002,283,5.39
LEFT_SHOULDER,1084,389,919,389,165.0
RIGHT_SHOULDER,921,393,1085,379,164.6
LEFT_ELBOW,1119,497,897,499,222.01
RIGHT_ELBOW,888,500,1111,495,223.06
LEFT_WRIST,1105,599,898,600,207.0
RIGHT_WRIST,895,600,1099,591,204.2
LEFT_HIP,1050,614,960,611,90.05
RIGHT_HIP,961,617,1054,606,93.65
LEFT_KNEE,1057,802,976,799,81.06
RIGHT_KNEE,973,799,1064,801,91.02
LEFT_ANKLE,1035,960,990,964,45.18
RIGHT_ANKLE,997,964,1045,961,48.09
